subcategory,quarter,cii,competition_level
Adapters,2026 Q1,-2.3994480240883207,Low Competition
Cable Ties,2026 Q1,-0.2622596441880499,Moderate Competition
Car Video,2026 Q1,-1.4849847581163134,Low Competition
Earbud Headphones,2026 Q1,0.436559321274187,Moderate Competition
"Earbud Headphones, Over-Ear Headphones",2026 Q1,0.34556384936321916,Moderate Competition
Item Finders,2026 Q1,0.2782876449923166,Moderate Competition
LED & LCD TVs,2026 Q1,2.6454486702127342,Very High Competition
Monitors,2026 Q1,1.0247695091431506,High Competition
On-Ear Headphones,2026 Q1,0.7714959818276012,High Competition
Over-Ear Headphones,2026 Q1,2.0235409055035705,Very High Competition
"Over-Ear Headphones, On-Ear Headphones",2026 Q1,0.8717934592015548,High Competition
Portable Bluetooth Speakers,2026 Q1,0.013572274223083446,Moderate Competition
Power Strips,2026 Q1,-0.08003601355891041,Moderate Competition
RCA,2026 Q1,-0.32501205764799485,Moderate Competition
Remote Controls,2026 Q1,0.024539902659411535,Moderate Competition
Smartwatches,2026 Q1,2.44038275982254,Very High Competition
"Smartwatches, Smartwatches",2026 Q1,4.7656912401256815,Very High Competition
Speaker,2026 Q1,-0.320138012458771,Moderate Competition
Streaming Media Players,2026 Q1,5.225428741201762,Very High Competition
Surge Protectors,2026 Q1,-0.20625545714353685,Moderate Competition
TV Wall & Ceiling Mounts,2026 Q1,0.11453801524167251,Moderate Competition
Tablets,2026 Q1,1.7469868348597866,Very High Competition
Wireless Audio Receivers & Adapters,2026 Q1,0.5988123145326802,High Competition
Adapters,2026 Q2,-2.2306059330475576,Low Competition
Cable Ties,2026 Q2,-0.2599547639787849,Moderate Competition
Car Video,2026 Q2,-1.296102558924107,Low Competition
Earbud Headphones,2026 Q2,0.4045179676803133,Moderate Competition
"Earbud Headphones, Over-Ear Headphones",2026 Q2,0.28820709711134124,Moderate Competition
Item Finders,2026 Q2,0.2346121465497156,Moderate Competition
LED & LCD TVs,2026 Q2,2.696645302673656,Very High Competition
Monitors,2026 Q2,1.0302282034091483,High Competition
On-Ear Headphones,2026 Q2,0.8286289157813819,High Competition
Over-Ear Headphones,2026 Q2,2.566648764428746,Very High Competition
"Over-Ear Headphones, On-Ear Headphones",2026 Q2,0.892235077610578,High Competition
Portable Bluetooth Speakers,2026 Q2,0.03379932666899378,Moderate Competition
Power Strips,2026 Q2,-0.07911097699003031,Moderate Competition
RCA,2026 Q2,-0.32519763073960156,Moderate Competition
Remote Controls,2026 Q2,0.02851156786773305,Moderate Competition
Smartwatches,2026 Q2,2.975325537003197,Very High Competition
"Smartwatches, Smartwatches",2026 Q2,4.848876957501736,Very High Competition
Speaker,2026 Q2,-0.320138012458771,Moderate Competition
Streaming Media Players,2026 Q2,5.226523113281424,Very High Competition
Surge Protectors,2026 Q2,-0.2101228251715274,Moderate Competition
TV Wall & Ceiling Mounts,2026 Q2,0.1018715649447304,Moderate Competition
Tablets,2026 Q2,1.7528188183793543,Very High Competition
Wireless Audio Receivers & Adapters,2026 Q2,0.5647345788760993,High Competition
Adapters,2026 Q3,-2.174650076757097,Low Competition
Cable Ties,2026 Q3,-0.2599547639787849,Moderate Competition
Car Video,2026 Q3,-1.1938239634526784,Low Competition
Earbud Headphones,2026 Q3,0.4083631905211424,Moderate Competition
